crop_year,crop_year_start,month,month_order,price_type,sugar_class,product_type,unit,price,source_period,source_file
2012-2013,2012,March,7,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1394.06,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,March,7,"""D"" World Market","""D""",raw_sugar,PHP/LKg,1185.46,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,March,7,Composite Price,,raw_sugar,PHP/LKg,1344.79,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,March,7,Molasses,,molasses,PHP/MT,4558.48,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,April,8,"""A"" Export","""A""",raw_sugar,PHP/LKg,1281.25,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,April,8,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1484.36,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,April,8,"""D"" World Market","""D""",raw_sugar,PHP/LKg,1163.65,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,April,8,Composite Price,,raw_sugar,PHP/LKg,1403.97,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,April,8,Molasses,,molasses,PHP/MT,4834.95,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,May,9,"""A"" Export","""A""",raw_sugar,PHP/LKg,1170.93,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,May,9,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1509.55,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,May,9,"""D"" World Market","""D""",raw_sugar,PHP/LKg,1094.64,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,May,9,Composite Price,,raw_sugar,PHP/LKg,1399.48,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,May,9,Molasses,,molasses,PHP/MT,5121.59,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,June,10,"""A"" Export","""A""",raw_sugar,PHP/LKg,1191.95,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,June,10,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1676.25,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,June,10,"""D"" World Market","""D""",raw_sugar,PHP/LKg,1103.24,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,June,10,Composite Price,,raw_sugar,PHP/LKg,1522.9,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,June,10,Molasses,,molasses,PHP/MT,5863.83,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,July,11,"""A"" Export","""A""",raw_sugar,PHP/LKg,1100.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,July,11,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1691.67,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,July,11,"""D"" World Market","""D""",raw_sugar,PHP/LKg,1100.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,July,11,Composite Price,,raw_sugar,PHP/LKg,1526.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,July,11,Molasses,,molasses,PHP/MT,6321.67,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,August,12,"""A"" Export","""A""",raw_sugar,PHP/LKg,1185.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,August,12,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1678.75,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
