crop_year,crop_year_start,month,month_order,price_kind,market_level,product_type,unit,price,source_period,source_file
2010-2011,2010,May,9,monthly_average,wholesale,refined_sugar,PHP/LKg,2315.29,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,May,9,monthly_average,wholesale,washed_sugar,PHP/LKg,2019.33,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,June,10,monthly_average,retail_wet_market,raw_sugar,PHP/kg,49.92,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,June,10,monthly_average,retail_wet_market,refined_sugar,PHP/kg,57.15,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,June,10,monthly_average,retail_wet_market,washed_sugar,PHP/kg,53.24,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,June,10,monthly_average,wholesale,raw_sugar,PHP/LKg,1561.83,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,June,10,monthly_average,wholesale,refined_sugar,PHP/LKg,2045.71,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,June,10,monthly_average,wholesale,washed_sugar,PHP/LKg,1787.7,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,July,11,monthly_average,retail_wet_market,raw_sugar,PHP/kg,44.97,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,July,11,monthly_average,retail_wet_market,refined_sugar,PHP/kg,51.17,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,July,11,monthly_average,retail_wet_market,washed_sugar,PHP/kg,47.77,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,July,11,monthly_average,wholesale,raw_sugar,PHP/LKg,1443.96,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,July,11,monthly_average,wholesale,refined_sugar,PHP/LKg,1910.6,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,July,11,monthly_average,wholesale,washed_sugar,PHP/LKg,1668.68,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,August,12,monthly_average,retail_wet_market,raw_sugar,PHP/kg,41.66,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,August,12,monthly_average,retail_wet_market,refined_sugar,PHP/kg,48.33,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,August,12,monthly_average,retail_wet_market,washed_sugar,PHP/kg,45.17,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,August,12,monthly_average,wholesale,raw_sugar,PHP/LKg,1457.45,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,August,12,monthly_average,wholesale,refined_sugar,PHP/LKg,1888.33,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,August,12,monthly_average,wholesale,washed_sugar,PHP/LKg,1586.12,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,September,1,monthly_average,retail_wet_market,raw_sugar,PHP/kg,40.45,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,September,1,monthly_average,retail_wet_market,refined_sugar,PHP/kg,47.1,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,September,1,monthly_average,retail_wet_market,washed_sugar,PHP/kg,43.78,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
