crop_year,crop_year_start,month,month_order,price_type,sugar_class,product_type,unit,raw_value,survey_status,price,include_in_analysis,source_period,source_file
2011-2012,2011,July,11,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,124.33",reported,1124.33,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,July,11,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,280.67",reported,1280.67,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,July,11,Composite Price,,raw_sugar,PHP/LKg,"1,269.73",reported,1269.73,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,July,11,Molasses,,molasses,PHP/MT,"2,406.50",reported,2406.5,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,August,12,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,122.50",reported,1122.5,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,August,12,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,245.00",reported,1245.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,August,12,Composite Price,,raw_sugar,PHP/LKg,"1 ,236.43",reported,1236.43,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,August,12,Molasses,,molasses,PHP/MT,"2,605.00",reported,2605.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2012-2013,2012,September,1,"""A"" Export","""A""",raw_sugar,PHP/LKg,999.85,reported,999.85,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,September,1,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,538.12",reported,1538.12,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,September,1,"""D"" World Market","""D""",raw_sugar,PHP/LKg,953.43,reported,953.43,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,September,1,Composite Price,,raw_sugar,PHP/LKg,"1,437.52",reported,1437.52,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
