crop_year,month,month_order,indicator,product_type,unit_original,value_lkg,value_mt,source_dataset,source_period,source_file,sugar_class,crop_year_start
2019-2020,August,12,refined_sugar_withdrawals,refined_sugar,LKg,1510273.0,75513.65000000001,refined_withdrawals,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv,,2019
2020-2021,September,1,raw_sugar_domestic_withdrawals,raw_sugar,MT,1605360.0,80268.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2020
2020-2021,September,1,raw_sugar_production,raw_sugar,MT,446940.0,22347.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2020
2020-2021,September,1,raw_sugar_production,raw_sugar,MT,0.0,0.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2020
2020-2021,September,1,refined_sugar_withdrawals,refined_sugar,LKg,1197172.0,59858.600000000006,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2020
2020-2021,October,2,raw_sugar_domestic_withdrawals,raw_sugar,MT,2367940.0,118397.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2020
2020-2021,October,2,raw_sugar_production,raw_sugar,MT,2207980.0,110399.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2020
2020-2021,October,2,refined_sugar_production,refined_sugar,LKg,214827.0,10741.35,refined_production,2020-2025,data\raw\2020-2025\refined_production.pdf,,2020
2020-2021,October,2,refined_sugar_withdrawals,refined_sugar,LKg,1081328.0,54066.4,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2020
2020-2021,November,3,raw_sugar_domestic_withdrawals,raw_sugar,MT,3415940.0,170797.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2020
2020-2021,November,3,raw_sugar_production,raw_sugar,MT,4242960.0,212148.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2020
2020-2021,November,3,refined_sugar_production,refined_sugar,LKg,1014936.0,50746.8,refined_production,2020-2025,data\raw\2020-2025\refined_production.pdf,,2020
2020-2021,November,3,refined_sugar_withdrawals,refined_sugar,LKg,1334382.0,66719.1,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2020
2020-2021,December,4,raw_sugar_domestic_withdrawals,raw_sugar,MT,2422640.0,121132.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2020
2020-2021,December,4,raw_sugar_production,raw_sugar,MT,4296640.0,214832.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2020
2020-2021,December,4,refined_sugar_production,refined_sugar,LKg,1377217.0,68860.85,refined_production,2020-2025,data\raw\2020-2025\refined_production.pdf,,2020
2020-2021,December,4,refined_sugar_withdrawals,refined_sugar,LKg,1012473.0,50623.65,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2020
2020-2021,January,5,raw_sugar_domestic_withdrawals,raw_sugar,MT,3690280.0,184514.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2020
2020-2021,January,5,raw_sugar_production,raw_sugar,MT,7009720.0,350486.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2020
2020-2021,January,5,refined_sugar_production,refined_sugar,LKg,1857241.0,92862.05,refined_production,2020-2025,data\raw\2020-2025\refined_production.pdf,,2020
2020-2021,January,5,refined_sugar_withdrawals,refined_sugar,LKg,1604049.0,80202.45000000001,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2020
2020-2021,February,6,raw_sugar_domestic_withdrawals,raw_sugar,MT,3674640.0,183732.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2020
2020-2021,February,6,raw_sugar_production,raw_sugar,MT,6292060.0,314603.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2020
2020-2021,February,6,refined_sugar_production,refined_sugar,LKg,2244974.0,112248.7,refined_production,2020-2025,data\raw\2020-2025\refined_production.pdf,,2020
2020-2021,February,6,refined_sugar_withdrawals,refined_sugar,LKg,1649085.0,82454.25,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2020
2020-2021,March,7,raw_sugar_domestic_withdrawals,raw_sugar,MT,4856520.0,242826.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2020
2020-2021,March,7,raw_sugar_production,raw_sugar,MT,6267680.0,313384.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2020
2020-2021,March,7,refined_sugar_production,refined_sugar,LKg,2817049.0,140852.45,refined_production,2020-2025,data\raw\2020-2025\refined_production.pdf,,2020
2020-2021,March,7,refined_sugar_withdrawals,refined_sugar,LKg,1854637.0,92731.85,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2020
2020-2021,April,8,raw_sugar_domestic_withdrawals,raw_sugar,MT,4831780.0,241589.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2020
2020-2021,April,8,raw_sugar_production,raw_sugar,MT,6223840.0,311192.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2020
2020-2021,April,8,refined_sugar_production,refined_sugar,LKg,2405327.0,120266.35,refined_production,2020-2025,data\raw\2020-2025\refined_production.pdf,,2020
2020-2021,April,8,refined_sugar_withdrawals,refined_sugar,LKg,1676556.0,83827.8,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2020
2020-2021,May,9,raw_sugar_domestic_withdrawals,raw_sugar,MT,5041820.0,252091.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2020
2020-2021,May,9,raw_sugar_production,raw_sugar,MT,4835160.0,241758.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2020
2020-2021,May,9,refined_sugar_production,refined_sugar,LKg,2064746.0,103237.3,refined_production,2020-2025,data\raw\2020-2025\refined_production.pdf,,2020
2020-2021,May,9,refined_sugar_withdrawals,refined_sugar,LKg,1735626.0,86781.3,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2020
2020-2021,June,10,raw_sugar_domestic_withdrawals,raw_sugar,MT,3161160.0,158058.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2020
2020-2021,June,10,raw_sugar_production,raw_sugar,MT,869820.0,43491.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2020
2020-2021,June,10,refined_sugar_production,refined_sugar,LKg,925481.0,46274.05,refined_production,2020-2025,data\raw\2020-2025\refined_production.pdf,,2020
2020-2021,June,10,refined_sugar_withdrawals,refined_sugar,LKg,1685414.0,84270.70000000001,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2020
2020-2021,July,11,raw_sugar_domestic_withdrawals,raw_sugar,MT,2671720.0,133586.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2020
2020-2021,July,11,raw_sugar_production,raw_sugar,MT,68740.0,3437.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2020
2020-2021,July,11,refined_sugar_production,refined_sugar,LKg,254997.0,12749.85,refined_production,2020-2025,data\raw\2020-2025\refined_production.pdf,,2020
2020-2021,July,11,refined_sugar_withdrawals,refined_sugar,LKg,1623398.0,81169.90000000001,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2020
2020-2021,August,12,raw_sugar_domestic_withdrawals,raw_sugar,MT,2927520.0,146376.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2020
2020-2021,August,12,raw_sugar_production,raw_sugar,MT,98820.0,4941.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2020
2020-2021,August,12,refined_sugar_withdrawals,refined_sugar,LKg,1740712.0,87035.6,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2020
2021-2022,September,1,raw_sugar_domestic_withdrawals,raw_sugar,MT,1617380.0,80869.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2021
2021-2022,September,1,raw_sugar_production,raw_sugar,MT,1196100.0,59805.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,September,1,refined_sugar_production,refined_sugar,LKg,34337.0,1716.85,refined_production,2020-2025,data\extracted\refined_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,September,1,refined_sugar_withdrawals,refined_sugar,LKg,935489.0,46774.45,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2021
2021-2022,October,2,raw_sugar_domestic_withdrawals,raw_sugar,MT,3196840.0,159842.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2021
2021-2022,October,2,raw_sugar_production,raw_sugar,MT,3280680.0,164034.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,October,2,refined_sugar_production,refined_sugar,LKg,1110203.0,55510.15,refined_production,2020-2025,data\extracted\refined_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,October,2,refined_sugar_withdrawals,refined_sugar,LKg,1127305.0,56365.25,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2021
2021-2022,November,3,raw_sugar_domestic_withdrawals,raw_sugar,MT,3117140.0,155857.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2021
2021-2022,November,3,raw_sugar_production,raw_sugar,MT,3617500.0,180875.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,November,3,refined_sugar_production,refined_sugar,LKg,1437201.0,71860.05,refined_production,2020-2025,data\extracted\refined_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,November,3,refined_sugar_withdrawals,refined_sugar,LKg,1239671.0,61983.55,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2021
2021-2022,December,4,raw_sugar_domestic_withdrawals,raw_sugar,MT,2848420.0,142421.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2021
2021-2022,December,4,raw_sugar_production,raw_sugar,MT,4230400.0,211520.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,December,4,refined_sugar_production,refined_sugar,LKg,1668835.0,83441.75,refined_production,2020-2025,data\extracted\refined_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,December,4,refined_sugar_withdrawals,refined_sugar,LKg,1270792.0,63539.600000000006,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2021
2021-2022,January,5,raw_sugar_domestic_withdrawals,raw_sugar,MT,4643900.0,232195.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2021
2021-2022,January,5,raw_sugar_production,raw_sugar,MT,6446120.0,322306.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,January,5,refined_sugar_production,refined_sugar,LKg,2169901.0,108495.05,refined_production,2020-2025,data\extracted\refined_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,January,5,refined_sugar_withdrawals,refined_sugar,LKg,1995082.0,99754.1,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2021
2021-2022,February,6,raw_sugar_domestic_withdrawals,raw_sugar,MT,4772720.0,238636.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2021
2021-2022,February,6,raw_sugar_production,raw_sugar,MT,6640820.0,332041.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,February,6,refined_sugar_production,refined_sugar,LKg,2707374.0,135368.7,refined_production,2020-2025,data\extracted\refined_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,February,6,refined_sugar_withdrawals,refined_sugar,LKg,2042604.0,102130.2,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2021
2021-2022,March,7,raw_sugar_domestic_withdrawals,raw_sugar,MT,5177180.0,258859.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2021
2021-2022,March,7,raw_sugar_production,raw_sugar,MT,5333600.0,266680.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,March,7,refined_sugar_production,refined_sugar,LKg,2238974.0,111948.7,refined_production,2020-2025,data\extracted\refined_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,March,7,refined_sugar_withdrawals,refined_sugar,LKg,2029113.0,101455.65,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2021
2021-2022,April,8,raw_sugar_domestic_withdrawals,raw_sugar,MT,3614840.0,180742.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2021
2021-2022,April,8,raw_sugar_production,raw_sugar,MT,2724200.0,136210.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,April,8,refined_sugar_production,refined_sugar,LKg,1219338.0,60966.9,refined_production,2020-2025,data\extracted\refined_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,April,8,refined_sugar_withdrawals,refined_sugar,LKg,1504863.0,75243.15000000001,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2021
2021-2022,May,9,raw_sugar_domestic_withdrawals,raw_sugar,MT,3689460.0,184473.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2021
2021-2022,May,9,raw_sugar_production,raw_sugar,MT,1973740.0,98687.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,May,9,refined_sugar_production,refined_sugar,LKg,1192380.0,59619.0,refined_production,2020-2025,data\extracted\refined_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,May,9,refined_sugar_withdrawals,refined_sugar,LKg,1789624.0,89481.20000000001,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2021
2021-2022,June,10,raw_sugar_domestic_withdrawals,raw_sugar,MT,3001300.0,150065.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2021
2021-2022,June,10,raw_sugar_production,raw_sugar,MT,393580.0,19679.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,June,10,refined_sugar_production,refined_sugar,LKg,622708.0,31135.4,refined_production,2020-2025,data\extracted\refined_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,June,10,refined_sugar_withdrawals,refined_sugar,LKg,1421635.0,71081.75,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2021
2021-2022,July,11,raw_sugar_domestic_withdrawals,raw_sugar,MT,1994680.0,99734.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2021
2021-2022,July,11,raw_sugar_production,raw_sugar,MT,5300.0,265.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,July,11,refined_sugar_production,refined_sugar,LKg,343829.0,17191.45,refined_production,2020-2025,data\extracted\refined_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,July,11,refined_sugar_withdrawals,refined_sugar,LKg,1354494.0,67724.7,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2021
2021-2022,August,12,raw_sugar_domestic_withdrawals,raw_sugar,MT,1119300.0,55965.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2021
2021-2022,August,12,raw_sugar_production,raw_sugar,MT,575220.0,28761.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,August,12,refined_sugar_production,refined_sugar,LKg,225036.0,11251.8,refined_production,2020-2025,data\extracted\refined_production\2020-2025\table_01_lattice.csv,,2021
2021-2022,August,12,refined_sugar_withdrawals,refined_sugar,LKg,587861.0,29393.050000000003,refined_withdrawals,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,,2021
2022-2023,September,1,raw_sugar_domestic_withdrawals,raw_sugar,MT,1701640.0,85082.0,raw_domestic_withdrawals,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv,"""B"" Domestic",2022
2022-2023,September,1,raw_sugar_production,raw_sugar,MT,2132200.0,106610.0,raw_production,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv,,2022
2022-2023,September,1,refined_sugar_production,refined_sugar,LKg,782119.0,39105.95,refined_production,2020-2025,data\extracted\refined_production\2020-2025\table_01_lattice.csv,,2022
