crop_year,month,month_order,product_type,sugar_class,metric,unit,value,source_period,source_file
2011-2012,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,190185.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,178397.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,66970.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,137004.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,109941.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,172863.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,144750.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,86135.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,90624.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,123630.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,169425.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,111696.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2019-2020,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,72918.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,66209.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,87442.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,79753.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2015-2016,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,83765.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,96493.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,109415.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,140699.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,121623.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2015-2016,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,99589.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,138779.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,98265.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,130575.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,121505.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2015-2016,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,155903.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,December,4,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,172714.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,December,4,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,187713.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
