crop_year,month,month_order,product_type,metric,unit,value,source_period,source_file
2018-2019,September,1,raw_sugar,raw_sugar_production,MT,54775.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,September,1,raw_sugar,raw_sugar_production,MT,11692.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,September,1,raw_sugar,raw_sugar_production,MT,20856.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,September,1,raw_sugar,raw_sugar_production,MT,51372.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2019-2020,October,2,raw_sugar,raw_sugar_production,MT,100162.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2018-2019,October,2,raw_sugar,raw_sugar_production,MT,125271.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,October,2,raw_sugar,raw_sugar_production,MT,125175.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,October,2,raw_sugar,raw_sugar_production,MT,127204.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,October,2,raw_sugar,raw_sugar_production,MT,116333.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2019-2020,November,3,raw_sugar,raw_sugar_production,MT,141342.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2018-2019,November,3,raw_sugar,raw_sugar_production,MT,183360.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,November,3,raw_sugar,raw_sugar_production,MT,180585.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,November,3,raw_sugar,raw_sugar_production,MT,158404.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,November,3,raw_sugar,raw_sugar_production,MT,242748.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2019-2020,December,4,raw_sugar,raw_sugar_production,MT,281817.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2018-2019,December,4,raw_sugar,raw_sugar_production,MT,324958.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,December,4,raw_sugar,raw_sugar_production,MT,303101.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,December,4,raw_sugar,raw_sugar_production,MT,254142.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,December,4,raw_sugar,raw_sugar_production,MT,305998.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2019-2020,January,5,raw_sugar,raw_sugar_production,MT,300162.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2018-2019,January,5,raw_sugar,raw_sugar_production,MT,303232.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,January,5,raw_sugar,raw_sugar_production,MT,256336.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,January,5,raw_sugar,raw_sugar_production,MT,345500.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,January,5,raw_sugar,raw_sugar_production,MT,487342.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2019-2020,February,6,raw_sugar,raw_sugar_production,MT,366939.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2018-2019,February,6,raw_sugar,raw_sugar_production,MT,383372.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,February,6,raw_sugar,raw_sugar_production,MT,316825.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,February,6,raw_sugar,raw_sugar_production,MT,391748.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,February,6,raw_sugar,raw_sugar_production,MT,414241.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2019-2020,March,7,raw_sugar,raw_sugar_production,MT,453743.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2018-2019,March,7,raw_sugar,raw_sugar_production,MT,447180.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,March,7,raw_sugar,raw_sugar_production,MT,314370.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,March,7,raw_sugar,raw_sugar_production,MT,399240.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,March,7,raw_sugar,raw_sugar_production,MT,310197.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2019-2020,April,8,raw_sugar,raw_sugar_production,MT,239297.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2018-2019,April,8,raw_sugar,raw_sugar_production,MT,180948.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,April,8,raw_sugar,raw_sugar_production,MT,365901.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,April,8,raw_sugar,raw_sugar_production,MT,387838.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,April,8,raw_sugar,raw_sugar_production,MT,192698.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2019-2020,May,9,raw_sugar,raw_sugar_production,MT,197247.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2018-2019,May,9,raw_sugar,raw_sugar_production,MT,57427.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,May,9,raw_sugar,raw_sugar_production,MT,148425.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,May,9,raw_sugar,raw_sugar_production,MT,248421.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,May,9,raw_sugar,raw_sugar_production,MT,94792.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2019-2020,June,10,raw_sugar,raw_sugar_production,MT,43417.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2018-2019,June,10,raw_sugar,raw_sugar_production,MT,11828.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,June,10,raw_sugar,raw_sugar_production,MT,48258.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,June,10,raw_sugar,raw_sugar_production,MT,128233.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,June,10,raw_sugar,raw_sugar_production,MT,19506.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2019-2020,July,11,raw_sugar,raw_sugar_production,MT,3779.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,July,11,raw_sugar,raw_sugar_production,MT,12914.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,July,11,raw_sugar,raw_sugar_production,MT,38262.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,July,11,raw_sugar,raw_sugar_production,MT,791.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2018-2019,August,12,raw_sugar,raw_sugar_production,MT,1759.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,August,12,raw_sugar,raw_sugar_production,MT,59.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,August,12,raw_sugar,raw_sugar_production,MT,661.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,August,12,raw_sugar,raw_sugar_production,MT,2854.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2024-2025,September,1,raw_sugar,raw_sugar_production,MT,5645.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2023-2024,September,1,raw_sugar,raw_sugar_production,MT,96765.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,September,1,raw_sugar,raw_sugar_production,MT,106610.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,September,1,raw_sugar,raw_sugar_production,MT,59805.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,September,1,raw_sugar,raw_sugar_production,MT,22347.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2024-2025,October,2,raw_sugar,raw_sugar_production,MT,89967.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2023-2024,October,2,raw_sugar,raw_sugar_production,MT,208093.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,October,2,raw_sugar,raw_sugar_production,MT,204012.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,October,2,raw_sugar,raw_sugar_production,MT,164034.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,October,2,raw_sugar,raw_sugar_production,MT,110399.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2024-2025,November,3,raw_sugar,raw_sugar_production,MT,114920.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2023-2024,November,3,raw_sugar,raw_sugar_production,MT,208852.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,November,3,raw_sugar,raw_sugar_production,MT,212945.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,November,3,raw_sugar,raw_sugar_production,MT,180875.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,November,3,raw_sugar,raw_sugar_production,MT,212148.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2024-2025,December,4,raw_sugar,raw_sugar_production,MT,281544.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2023-2024,December,4,raw_sugar,raw_sugar_production,MT,339797.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,December,4,raw_sugar,raw_sugar_production,MT,266845.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,December,4,raw_sugar,raw_sugar_production,MT,211520.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,December,4,raw_sugar,raw_sugar_production,MT,214832.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2024-2025,January,5,raw_sugar,raw_sugar_production,MT,276663.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2023-2024,January,5,raw_sugar,raw_sugar_production,MT,300663.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,January,5,raw_sugar,raw_sugar_production,MT,255619.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,January,5,raw_sugar,raw_sugar_production,MT,322306.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,January,5,raw_sugar,raw_sugar_production,MT,350486.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2024-2025,February,6,raw_sugar,raw_sugar_production,MT,323010.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2023-2024,February,6,raw_sugar,raw_sugar_production,MT,321778.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,February,6,raw_sugar,raw_sugar_production,MT,255444.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,February,6,raw_sugar,raw_sugar_production,MT,332041.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,February,6,raw_sugar,raw_sugar_production,MT,314603.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2024-2025,March,7,raw_sugar,raw_sugar_production,MT,402311.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2023-2024,March,7,raw_sugar,raw_sugar_production,MT,303519.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,March,7,raw_sugar,raw_sugar_production,MT,256921.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,March,7,raw_sugar,raw_sugar_production,MT,266680.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,March,7,raw_sugar,raw_sugar_production,MT,313384.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2024-2025,April,8,raw_sugar,raw_sugar_production,MT,259618.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2023-2024,April,8,raw_sugar,raw_sugar_production,MT,120619.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,April,8,raw_sugar,raw_sugar_production,MT,187590.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,April,8,raw_sugar,raw_sugar_production,MT,136210.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,April,8,raw_sugar,raw_sugar_production,MT,311192.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2024-2025,May,9,raw_sugar,raw_sugar_production,MT,201921.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2023-2024,May,9,raw_sugar,raw_sugar_production,MT,22500.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,May,9,raw_sugar,raw_sugar_production,MT,45606.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,May,9,raw_sugar,raw_sugar_production,MT,98687.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,May,9,raw_sugar,raw_sugar_production,MT,241758.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2024-2025,June,10,raw_sugar,raw_sugar_production,MT,116442.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,June,10,raw_sugar,raw_sugar_production,MT,5910.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,June,10,raw_sugar,raw_sugar_production,MT,19679.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,June,10,raw_sugar,raw_sugar_production,MT,43491.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2024-2025,July,11,raw_sugar,raw_sugar_production,MT,12858.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,July,11,raw_sugar,raw_sugar_production,MT,1965.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,July,11,raw_sugar,raw_sugar_production,MT,265.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,July,11,raw_sugar,raw_sugar_production,MT,3437.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2024-2025,August,12,raw_sugar,raw_sugar_production,MT,635.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,August,12,raw_sugar,raw_sugar_production,MT,28761.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,August,12,raw_sugar,raw_sugar_production,MT,4941.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,September,1,raw_sugar,raw_sugar_production,MT,0.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
