crop_year,month,month_order,price_kind,market_level,product_type,unit,value_position,price,source_period,source_file
2013-2014,December,4,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1766.11,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,December,4,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2060.1,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,December,4,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,40.11,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,December,4,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,42.93,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,December,4,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,47.71,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,January,5,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1598.54,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,January,5,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1722.75,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,January,5,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2007.08,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,January,5,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,40.15,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,January,5,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,43.2,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,January,5,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,47.83,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,February,6,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1605.1,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,February,6,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1727.75,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,February,6,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2007.81,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,February,6,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,40.3,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,February,6,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,43.43,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,February,6,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,47.81,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,March,7,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1680.29,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,March,7,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1819.21,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,March,7,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2053.43,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,March,7,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,40.83,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,March,7,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,43.9,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,March,7,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,47.96,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,April,8,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1768.38,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,April,8,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1917.97,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
