crop_year,month,month_order,product_type,metric,unit,value_lkg,value_mt,source_period,source_file
2012-2013,July,11,refined_sugar,refined_sugar_withdrawals,LKg,1535022.0,76751.1,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,July,11,refined_sugar,refined_sugar_withdrawals,LKg,2078606.0,103930.3,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,July,11,refined_sugar,refined_sugar_withdrawals,LKg,2015467.0,100773.35,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1617970.0,80898.5,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1728152.0,86407.6,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1774497.0,88724.85,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1324434.0,66221.7,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1762242.0,88112.1,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2019-2020,September,1,refined_sugar,refined_sugar_withdrawals,LKg,1050586.0,52529.3,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,September,1,refined_sugar,refined_sugar_withdrawals,LKg,963666.0,48183.3,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,September,1,refined_sugar,refined_sugar_withdrawals,LKg,1200776.0,60038.8,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,September,1,refined_sugar,refined_sugar_withdrawals,LKg,895878.0,44793.9,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,October,2,refined_sugar,refined_sugar_withdrawals,LKg,1051614.0,52580.700000000004,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,October,2,refined_sugar,refined_sugar_withdrawals,LKg,1261195.0,63059.75,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,October,2,refined_sugar,refined_sugar_withdrawals,LKg,1821316.0,91065.8,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,October,2,refined_sugar,refined_sugar_withdrawals,LKg,1350843.0,67542.15000000001,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,November,3,refined_sugar,refined_sugar_withdrawals,LKg,1114830.0,55741.5,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,November,3,refined_sugar,refined_sugar_withdrawals,LKg,1073164.0,53658.200000000004,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,November,3,refined_sugar,refined_sugar_withdrawals,LKg,1365091.0,68254.55,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,November,3,refined_sugar,refined_sugar_withdrawals,LKg,1187954.0,59397.700000000004,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,December,4,refined_sugar,refined_sugar_withdrawals,LKg,1371877.0,68593.85,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,December,4,refined_sugar,refined_sugar_withdrawals,LKg,1295418.0,64770.9,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,December,4,refined_sugar,refined_sugar_withdrawals,LKg,1915705.0,95785.25,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,December,4,refined_sugar,refined_sugar_withdrawals,LKg,1308035.0,65401.75,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,January,5,refined_sugar,refined_sugar_withdrawals,LKg,1026899.0,51344.950000000004,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,January,5,refined_sugar,refined_sugar_withdrawals,LKg,1126850.0,56342.5,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,January,5,refined_sugar,refined_sugar_withdrawals,LKg,2064024.0,103201.20000000001,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,January,5,refined_sugar,refined_sugar_withdrawals,LKg,1722779.0,86138.95000000001,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
